Team,Judging,,Practice 1,,Practice 2,,Table 1,,Table 2,,Table 3,
63372,10:30-11:15,Room E,09:11-09:22,Table B1,09:44-09:55,Table B1,14:00-14:07,Table A2,15:00-15:07,Table B2,15:45-15:52,Table B1
64424,10:30-11:15,Room F,09:22-09:33,Table C1,09:55-10:06,Table D1,14:00-14:07,Table D1,15:00-15:07,Table A1,16:07-16:15,Table A1
64425,10:30-11:15,Room G,09:11-09:22,Table D2,09:44-09:55,Table C2,14:00-14:07,Table C2,14:37-14:45,Table C2,15:37-15:45,Table A2
65253,10:30-11:15,Room I,09:00-09:11,Table D1,10:06-10:17,Table A2,14:22-14:30,Table B1,15:07-15:15,Table A2,16:00-16:07,Table A2
65302,11:15-12:00,Room A,09:44-09:55,Table D1,10:50-11:01,Table C2,14:30-14:37,Table C2,15:07-15:15,Table B2,16:00-16:07,Table B2
65867,11:15-12:00,Room B,09:33-09:44,Table B1,10:50-11:01,Table B1,14:22-14:30,Table D2,15:22-15:30,Table B1,16:00-16:07,Table D1
66339,11:15-12:00,Room C,10:17-10:28,Table C2,10:39-10:50,Table C2,14:07-14:15,Table D2,15:00-15:07,Table C2,15:52-16:00,Table D1
66737,11:15-12:00,Room D,09:11-09:22,Table C2,09:55-10:06,Table A2,14:52-15:00,Table B1,15:30-15:37,Table C2,16:15-16:22,Table A1
67231,11:15-12:00,Room E,09:44-09:55,Table A1,10:28-10:39,Table A1,14:45-14:52,Table C1,15:22-15:30,Table A1,16:07-16:15,Table D2
67239,11:15-12:00,Room F,09:11-09:22,Table A2,09:55-10:06,Table B2,14:37-14:45,Table A2,15:30-15:37,Table A2,16:00-16:07,Table D2
67555,11:15-12:00,Room G,09:33-09:44,Table D1,10:06-10:17,Table D1,14:15-14:22,Table C2,15:00-15:07,Table B1,15:37-15:45,Table D1
68279,11:15-12:00,Room H,09:00-09:11,Table A2,10:28-10:39,Table B1,14:15-14:22,Table A2,14:45-14:52,Table A1,15:22-15:30,Table A2
70462,11:15-12:00,Room I,09:22-09:33,Table B2,10:39-10:50,Table B2,14:37-14:45,Table B2,15:45-15:52,Table D1,16:22-16:30,Table A1
71211,12:00-12:45,Room A,09:33-09:44,Table C2,10:17-10:28,Table C1,15:15-15:22,Table C2,15:45-15:52,Table C2,16:15-16:22,Table A2
71263,12:00-12:45,Room B,09:33-09:44,Table A1,10:06-10:17,Table B1,14:30-14:37,Table A1,15:07-15:15,Table D2,15:37-15:45,Table D2
72160,12:00-12:45,Room C,09:00-09:11,Table A1,09:55-10:06,Table C2,14:52-15:00,Table C2,15:22-15:30,Table D2,15:45-15:52,Table A2
73598,12:00-12:45,Room D,09:44-09:55,Table A2,11:01-11:12,Table B2,15:15-15:22,Table A1,15:30-15:37,Table A1,16:22-16:30,Table A2
73685,12:00-12:45,Room E,10:28-10:39,Table D2,11:01-11:12,Table C2,14:37-14:45,Table D2,14:52-15:00,Table D2,16:00-16:07,Table A1
74057,12:00-12:45,Room F,09:33-09:44,Table A2,11:23-11:34,Table D2,14:52-15:00,Table A2,15:15-15:22,Table A2,16:07-16:15,Table B1
74584,12:00-12:45,Room G,09:22-09:33,Table C2,11:01-11:12,Table D1,15:15-15:22,Table D1,15:37-15:45,Table B1,16:15-16:22,Table D1
74585,12:00-12:45,Room H,09:00-09:11,Table C2,09:44-09:55,Table D2,15:22-15:30,Table B2,15:45-15:52,Table D2,16:15-16:22,Table B2
74586,12:00-12:45,Room I,09:22-09:33,Table D2,10:06-10:17,Table C1,15:00-15:07,Table C1,15:37-15:45,Table B2,16:00-16:07,Table C1
