Team,Judging,,Practice 1,,Practice 2,,Table 1,,Table 2,,Table 3,
41,11:15-12:00,Room F,09:22-09:33,Table A2,10:39-10:50,Table A2,14:07-14:15,Table C1,14:30-14:37,Table C1,15:37-15:45,Table C1
42,11:15-12:00,Room G,09:33-09:44,Table B1,10:50-11:01,Table B1,14:22-14:30,Table D2,15:22-15:30,Table B1,16:00-16:07,Table D1
43,11:15-12:00,Room H,09:44-09:55,Table A1,10:28-10:39,Table A1,14:45-14:52,Table C1,15:22-15:30,Table A1,16:07-16:15,Table D2
44,11:15-12:00,Room I,09:44-09:55,Table D1,10:50-11:01,Table C2,14:30-14:37,Table C2,15:07-15:15,Table B2,16:00-16:07,Table B2
45,12:00-12:45,Room A,09:22-09:33,Table D2,10:17-10:28,Table C1,15:00-15:07,Table C1,15:37-15:45,Table B2,16:00-16:07,Table C1
46,12:00-12:45,Room B,09:33-09:44,Table A1,10:17-10:28,Table B1,14:30-14:37,Table A1,15:07-15:15,Table D2,15:37-15:45,Table D2
47,12:00-12:45,Room C,09:33-09:44,Table C2,10:06-10:17,Table C1,15:15-15:22,Table C2,15:45-15:52,Table C2,16:15-16:22,Table A2
48,12:00-12:45,Room D,09:00-09:11,Table A1,09:55-10:06,Table C2,14:52-15:00,Table C2,15:22-15:30,Table D2,15:45-15:52,Table A2
49,12:00-12:45,Room E,09:33-09:44,Table A2,11:23-11:34,Table D2,14:52-15:00,Table A2,15:15-15:22,Table A2,16:07-16:15,Table B1
50,12:00-12:45,Room F,09:22-09:33,Table C2,11:01-11:12,Table D1,15:15-15:22,Table D1,15:37-15:45,Table B1,16:15-16:22,Table D1
51,12:00-12:45,Room G,09:00-09:11,Table C2,09:44-09:55,Table D2,15:22-15:30,Table B2,15:45-15:52,Table D2,16:15-16:22,Table B2
52,12:00-12:45,Room H,09:44-09:55,Table A2,11:01-11:12,Table B2,15:15-15:22,Table A1,15:52-16:00,Table A2,16:22-16:30,Table A2
53,12:00-12:45,Room I,10:28-10:39,Table C2,11:01-11:12,Table C2,14:37-14:45,Table D2,15:30-15:37,Table A1,16:00-16:07,Table A1
